data	ano
0.003948691	4X5'
0.003950091	4X5'
0.004958521	4X4'
0.005004105	4X4'
0.004973581	4X4'
0.004895991	4X4'
0.004957725	4X4'
0.004839288	4X4'
0.004729537	4X4'
0.004934078	4X4'
0.004668754	4X4'
0.005156528	4X4'
0.00481919	4X4'
0.004831509	4X4'
0.004917746	4X4'
0.004896267	4X4'
0.004908256	4X4'
0.005048722	4X4'
0.00506716	4X4'
0.00493199	4X4'
0.004863238	4X4'
0.004906841	4X4'
0.005008636	4X4'
0.004878745	4X4'
0.004889202	4X4'
0.004867156	4X4'
0.005049177	4X4'
0.004856984	4X4'
0.005055961	4X4'
0.004943932	4X4'
0.004993049	4X4'
0.004921925	4X4'
0.004986689	4X4'
0.004929804	4X4'
0.005061027	4X4'
0.005061622	4X4'
0.005015055	4X4'
0.004821322	4X4'
0.005117617	4X4'
0.005125579	4X4'
0.004934631	4X4'
0.004864886	4X4'
0.005010527	4X4'
0.004876924	4X4'
0.004985985	4X4'
0.004832829	4X4'
0.005080016	4X4'
0.004840923	4X4'
0.004946515	4X4'
0.005102347	4X4'
0.004804701	4X4'
0.005118565	4X4'
0.00527649	4X4'
0.005021425	4X4'
0.0048968	4X4'
0.004911564	4X4'
0.004809958	4X4'
0.004819634	4X4'
0.004626194	4X4'
0.005206428	4X4'
0.00515896	4X4'
0.00480108	4X4'
0.005333889	4X4'
0.004883487	4X4'
0.004976065	4X4'
0.004849866	4X4'
0.005009643	4X4'
0.004773011	4X4'
0.005158634	4X4'
0.005020065	4X4'
0.004913783	4X4'
0.005026004	4X4'
0.005119915	4X4'
0.005036896	4X4'
0.004783831	4X4'
0.004868002	4X4'
0.004843646	4X4'
0.004896642	4X4'
0.005035052	4X4'
0.005074521	4X4'
0.005012811	4X4'
0.005064677	4X4'
0.004896269	4X4'
0.004989976	4X4'
0.004926579	4X4'
0.005011305	4X4'
0.005042001	4X4'
0.004956687	4X4'
0.005001106	4X4'
0.005007029	4X4'
0.005072979	4X4'
0.004838812	4X4'
0.004964784	4X4'
0.004771657	4X4'
0.004838784	4X4'
0.004675268	4X4'
0.005053785	4X4'
0.004901009	4X4'
0.00488104	4X4'
0.005126504	4X4'
0.004977776	4X4'
0.005046657	3X4'
0.003335217	3X4'
0.003284425	3X4'
0.003369933	3X4'
0.003296734	3X4'
0.003371453	3X4'
0.003286759	3X4'
0.003229982	3X4'
0.003404049	3X4'
0.003321931	3X4'
0.003506098	3X4'
0.003216897	3X4'
0.003181044	3X4'
0.003317997	3X4'
0.003418604	3X4'
0.003440534	3X4'
0.003591814	3X4'
0.0033341	3X4'
0.003381991	3X4'
0.00332788	3X4'
0.003409137	3X4'
0.00342989	3X4'
0.003343597	3X4'
0.003313173	3X4'
0.003371114	3X4'
0.003450833	3X4'
0.003231356	3X4'
0.003378726	3X4'
0.003339602	3X4'
0.003381077	3X4'
0.003353572	3X4'
0.00336862	3X4'
0.003447063	3X4'
0.003420558	3X4'
0.003331597	3X4'
0.003235783	3X4'
0.003290862	3X4'
0.003427997	3X4'
0.003578321	3X4'
0.00331044	3X4'
0.003386794	3X4'
0.003299549	3X4'
0.003397102	3X4'
0.003326411	3X4'
0.003175577	3X4'
0.00356739	3X4'
0.003331082	3X4'
0.003381152	3X4'
0.003434758	3X4'
0.003251129	3X4'
0.003458241	3X4'
0.003595315	3X4'
0.003455638	3X4'
0.003312332	3X4'
0.003377538	3X4'
0.003290743	3X4'
0.003298688	3X4'
0.003175778	3X4'
0.003535818	3X4'
